Ra,Degree
0.01616901629144452,0.0
0.01591432359578563,1.0
0.015366296255726783,2.0
0.016273664635496243,3.0
0.01580169881636664,4.0
0.015378595218147172,5.0
0.01563910882779087,6.0
0.01520088062679546,7.0
0.01729574363242252,8.0
0.014828530263449675,9.0
0.017735592342898777,10.0
0.017278222992811693,11.0
0.016434264411214528,12.0
0.016650129685029567,13.0
0.01775303386586555,14.0
0.01837579042325493,15.0
0.019529152442545425,16.0
0.021695266803761656,17.0
0.021193399387121073,18.0
0.020731338130277457,19.0
0.024252199723975822,20.0
0.023381621764427905,21.0
0.02400670948143672,22.0
0.021625929323317084,23.0
0.016154449806039726,24.0
0.017137681253217504,25.0
0.01717345698903329,26.0
0.015257656338593703,27.0
0.014396965396446042,28.0
0.014734655159466526,29.0
0.014946150399420056,30.0
0.013552040877670923,31.0
0.013121622035265667,32.0
0.014173677844075118,33.0
0.013532842880350338,34.0
0.012047935544731821,35.0
0.013085443969446288,36.0
0.01562470584705267,37.0
0.01595627395957235,38.0
0.014975104687003507,39.0
0.01353179969342146,40.0
0.011317818657324424,41.0
0.010527555518782901,42.0
0.010897844979343449,43.0
0.011224419633019872,44.0
0.01256720954497121,45.0
0.01408969064320805,46.0
0.015246819826244292,47.0
0.014981391541591149,48.0
0.014396686010993986,49.0
0.014290443990560533,50.0
0.014549736790007156,51.0
0.015812408997034764,52.0
0.013561537456853078,53.0
0.011161122219663661,54.0
0.010437022666681176,55.0
0.013963807296794264,56.0
0.015496582232295145,57.0
0.018149029557376805,58.0
0.017865858706077885,59.0
0.01914851732072206,60.0
0.02290338031968978,61.0
0.022532699473756943,62.0
0.021834273312018038,63.0
0.02014216158333067,64.0
0.017966078188968657,65.0
0.015814225887723844,66.0
0.014736833186698573,67.0
0.016039865908116763,68.0
0.015403325707390152,69.0
0.014740390787386792,70.0
0.014474330816743227,71.0
0.013831102876668121,72.0
0.013201178552865235,73.0
0.012930775335084901,74.0
0.013498968127691986,75.0
0.014442362804851786,76.0
0.014518761917540214,77.0
0.014073042946255332,78.0
0.015192890375915532,79.0
0.016721129035704912,80.0
0.015844432989152717,81.0
0.015148235761055734,82.0
0.01534587602493536,83.0
0.014417318589325342,84.0
0.014731035444113524,85.0
0.015455704194283345,86.0
0.015604636478906614,87.0
0.01614316710354887,88.0
0.015631999643765385,89.0
0.015297404944950545,90.0
0.015118861879541716,91.0
0.01632433548740389,92.0
0.015585387675170865,93.0
0.015521992561949556,94.0
0.014766463869585678,95.0
0.014754705286315136,96.0
0.014197903596739647,97.0
0.014976091301648937,98.0
0.014627717590251327,99.0
0.014993371854886004,100.0
0.01586318809495881,101.0
0.015857766625980582,102.0
0.016991362791385682,103.0
0.01809228498507221,104.0
0.019566445709932673,105.0
0.02111662082546213,106.0
0.021649523027141137,107.0
0.02430295452806169,108.0
0.025840724656621877,109.0
0.026440025533892138,110.0
0.030343139928653826,111.0
0.029461337136116456,112.0
0.02900879909043813,113.0
0.02894739349219675,114.0
0.030059568318334843,115.0
0.03559428410437659,116.0
0.03806244001000403,117.0
0.03931194428350784,118.0
0.03882365584681472,119.0
0.04190749538626429,120.0
0.04386932497991934,121.0
0.047842437434095136,122.0
0.04469864696762618,123.0
0.0473431765169954,124.0
0.04837020321105273,125.0
0.05201495183693793,126.0
0.05591683481042041,127.0
0.0541314858791503,128.0
0.05884522973393005,129.0
0.06738584661063773,130.0
0.078459026538752,131.0
0.07878088716660847,132.0
0.0780621931274891,133.0
0.08616429271373424,134.0
0.09102677183528826,135.0
0.09085237994380015,136.0
0.09204206159649868,137.0
0.0907136843984503,138.0
0.0955050826078261,139.0
0.09502280994680781,140.0
0.0915707579883714,141.0
0.08633574280299411,142.0
0.10351989979111688,143.0
0.1353436205120898,144.0
0.15145253353591653,145.0
0.14495507410721303,146.0
0.15357728535002996,147.0
0.148544322370064,148.0
0.1549288722909224,149.0
0.1607241911947932,150.0
0.15791759391174456,151.0
0.1478846756316679,152.0
0.14993384269432844,153.0
0.13830721858645456,154.0
0.12793568501163188,155.0
0.13394130942805474,156.0
0.13799722798813158,157.0
0.1287010453075177,158.0
0.13196465633319435,159.0
0.12908958968613998,160.0
0.10473647742244868,161.0
0.1085445359329581,162.0
0.09859646641805599,163.0
0.10753243193333052,164.0
0.11472583444651936,165.0
0.11503843906324154,166.0
0.11643933181296479,167.0
0.10420716167363553,168.0
0.10013609424290168,169.0
0.10917611588056339,170.0
0.10827837307679522,171.0
0.0998459508579719,172.0
0.09704273044351111,173.0
0.09941686919652545,174.0
0.1017837702598543,175.0
