Ra,Degree
0.02083247855329437,0.0
0.029590263640129188,1.0
0.03421272743645909,2.0
0.03862793132865735,3.0
0.04471692774860772,4.0
0.04942612572610425,5.0
0.03938994454808089,6.0
0.0369524279732503,7.0
0.03877935678306337,8.0
0.04141448105942383,9.0
0.041777490459492965,10.0
0.04233841488993083,11.0
0.04409464708796421,12.0
0.0466715137379706,13.0
0.04888366614014676,14.0
0.051016927175904794,15.0
0.05544998053459911,16.0
0.07801316362887936,17.0
0.08889819816412765,18.0
0.09172140582283389,19.0
0.09361798548218678,20.0
0.0959669957267269,21.0
0.1003817128289778,22.0
0.10470023993864751,23.0
0.11022780261985236,24.0
0.11809767602191201,25.0
0.12331760311193356,26.0
0.12992292143489229,27.0
0.1363012642723774,28.0
0.13946892104500433,29.0
0.13888654388494484,30.0
0.14364138623020695,31.0
0.1466578080465455,32.0
0.15108247645910006,33.0
0.15857399030193212,34.0
0.16564463320046305,35.0
0.17533872630502836,36.0
0.17883874090691806,37.0
0.18045191181309422,38.0
0.19405303040672478,39.0
0.20190039872895713,40.0
0.2025300586973429,41.0
0.21059955977243774,42.0
0.2130929808690709,43.0
0.2136790053700675,44.0
0.21296300783332972,45.0
0.21458584070046455,46.0
0.22073362372003358,47.0
0.2203243989901758,48.0
0.21590603737500108,49.0
0.21662854146219865,50.0
0.21703391753689447,51.0
0.22111370252214094,52.0
0.22377085879235467,53.0
0.21653257789177888,54.0
0.20914579404399192,55.0
0.2076631896223696,56.0
0.21027675141836497,57.0
0.20828649033709556,58.0
0.2074598317141339,59.0
0.21033771166037493,60.0
0.206590597316311,61.0
0.20889073093750438,62.0
0.2037485293660344,63.0
0.19845119972939,64.0
0.19215984281805484,65.0
0.18576726733730956,66.0
0.17668259732178487,67.0
0.16971392665647264,68.0
0.17035423091418536,69.0
0.16183582659984838,70.0
0.15732524761511954,71.0
0.14621057950646546,72.0
0.14553089529353358,73.0
0.14399270505562492,74.0
0.14039896149104583,75.0
0.13648866861529385,76.0
0.13214712235731985,77.0
0.13401767834648476,78.0
0.13758614057700227,79.0
0.13706298618081247,80.0
0.13030664327701802,81.0
0.13452085204470704,82.0
0.1359043036529248,83.0
0.13605050689085343,84.0
0.13615625898736125,85.0
0.1330364036052546,86.0
0.13024901524588245,87.0
0.13140916063876987,88.0
0.13453161147181558,89.0
0.13363523080495568,90.0
0.1282720017672405,91.0
0.12508823922425358,92.0
0.12551585874938243,93.0
0.13267410411492742,94.0
0.12812836593443724,95.0
0.12579213986763707,96.0
0.12239792666964051,97.0
0.12470010122662369,98.0
0.12726411954394318,99.0
0.1374373695761108,100.0
0.1420663048283476,101.0
0.14510624244855072,102.0
0.14450274253705578,103.0
0.1496212822479444,104.0
0.1529755860573373,105.0
0.16082284832475738,106.0
0.16804128177512007,107.0
0.1737488007419798,108.0
0.16895621711773914,109.0
0.1736601032281926,110.0
0.1821154114383024,111.0
0.18097078079351123,112.0
0.18153851826748563,113.0
0.18455025257529642,114.0
0.18851197393053104,115.0
0.19765390380090106,116.0
0.20143519392800904,117.0
0.20230455874762696,118.0
0.20778776155590753,119.0
0.20677843858124986,120.0
0.198835579569632,121.0
0.2047221535787917,122.0
0.21340414468402905,123.0
0.21420595476295734,124.0
0.21288504390602062,125.0
0.21397153585580994,126.0
0.20742871517198225,127.0
0.20685454842289944,128.0
0.19791460757774498,129.0
0.1895810049982658,130.0
0.1922503947960865,131.0
0.18969027946037986,132.0
0.1824294742812434,133.0
0.17622986901203616,134.0
0.1755527579809721,135.0
0.17114428955797245,136.0
0.17754996533951914,137.0
0.1703905673021497,138.0
0.16198664437042382,139.0
0.15976707576080876,140.0
0.1532736318884706,141.0
0.14826878986894057,142.0
0.1407722136284859,143.0
0.1334608756702645,144.0
0.1275176213980391,145.0
0.12369452921603395,146.0
0.11618937890716062,147.0
0.11042410783427116,148.0
0.10509971418131214,149.0
0.10214010227644202,150.0
